Region,All total immigrants,All total emigrants,All migration increase(decrease),Inter-state total immigrants,Inter-state total emigrants,Inter-state migration increase(decrease)
Ukraine,476925,455664,21261,41724,22587,19137
Vinnytsya,16268,18726,-2458,480,388,92
Volyn,11487,11887,-400,170,230,-60
Dnipropetrovsk,30109,30392,-283,2350,949,1401
Donetsk,15119,20407,-5288,616,598,18
Zhytomyr,16620,17948,-1328,454,176,278
Zakarpattya,6700,6536,164,918,559,359
Zaporizhya,13302,15209,-1907,1006,661,345
Ivano-Frankivsk,14499,13741,758,667,485,182
Kyiv,57336,27242,30094,3358,549,2809
Kirovohrad,9238,12182,-2944,125,161,-36
Luhansk,5722,9099,-3377,313,270,43
Lviv,27940,27107,833,1031,767,264
Mykolayiv,9800,12014,-2214,493,527,-34
Odesa,30819,24392,6427,2660,420,2240
Poltava,20296,20007,289,1803,994,809
Rivne,15656,16991,-1335,330,459,-129
Sumy,12809,15110,-2301,560,592,-32
Ternopil,12773,12056,717,1335,290,1045
Kharkiv,42521,37820,4701,7090,5274,1816
Kherson,8729,10802,-2073,97,176,-79
Khmelnytskiy,16717,16850,-133,674,202,472
Cherkasy,14531,15927,-1396,479,279,200
Chernivtsi,7713,7282,431,1463,462,1001
Chernihiv,11073,12522,-1449,105,112,-7
City of Kyiv,49148,43415,5733,13147,7007,6140
